id,en,es,pt,fr
KEY_TAP,TAP TO CONTINUE,PULSE PARA CONTINUAR,CLIQUE PARA CONTINUAR,APPUYEZ SUR POUR CONTINUER
KEY_LOADING,LOADING,CARGANDO,CARREGANDO,CHARGEMENT
KEY_GAMEMODE,GAME MODES,MODOS DE JUEGO ,MODOS DE JOGO ,MODES DE JEU 
KEY_START,START,INICIAR,INICIAR,DÉMARRER
KEY_ACHIEVE,ACHIEVEMENTS,LOGROS,REALIZAÇÕES,RÉALISATIONS
KEY_CUSTOMISE,CUSTOMIZATION,PERSONALIZACIÓN,PERSONALIZAÇÃO,PERSONNALISATION
KEY_SCORE,HIGH SCORE,PUNTUACIÓN ALTA,PONTUAÇÃO MÁXIMA,SCORE ÉLEVÉ
KEY_SETTINGS,SETTINGS,CONFIGURACIONES,CONFIGURAÇÕES,PARAMÈTRES
KEY_RESUME,RESUME,REANUDAR,CURRÍCULO,REPRENDRE
KEY_RESPAWN,RESPAWN,RESPAWN,REAPARECIMENTO,RESPAWN
string_gameover,GAME OVER,JUEGO TERMINADO,FIM DE JOGO,JEU TERMINÉ
KEY_QUIT,QUIT,DEJAR,SAIR,QUITTER
string_redeem_code,REDEEM CODE,CANJEAR CÓDIGO,CANJEAR CÓDIGO,UTILISER LE CODE
string_jump_area,JUMP AREA,ZONA DE SALTO ,ÁREA DE SALTO ,ZONE DE SAUT 
string_edit_control,EDIT CONTROL LAYOUT,EDITAR DISEÑO DE CONTROL,EDITAR LAYOUT DE CONTROLE,MODIFIER LE CONTRÔLEUR
KEY_HELP,HELP,AYUDA ,SOCORRO ,AIDEZ-MOI 
KEY_YES,YES,SÍ,SIM,OUI
KEY_NO,NO,NO,NÃO,NON
KEY_RESET_TEXT,DO YOU WANT TO RESET THE GAME?,¿DESEA RESTABLECER EL JUEGO?,VOCÊ DESEJA REDEFINIR O JOGO?,ÊTES-VOUS LE SOUHAITEZ RÉINITIALISER LE JEU?
KEY_SOUND_ON,SOUND ON,SONIDO EN,SOM LIGADO ,SON SUR
KEY_SOUND_OFF,SOUND OFF,SONIDO APAGADO,SOA ,ÉTEINDRE 
KEY_MUSIC_ON,MUSIC ON,MÚSICA EN,MÚSICA NO,MUSIQUE ALLUMÉE
KEY_MUSIC_OFF,MUSIC OFF,MÚSICA OFF,MÚSICA FORA,MUSIQUE OFF
KEY_FULLSCREEN_ON,FULL SCREEN ON,PANTALLA COMPLETA ENCENDIDA,PISTA COMPLETA ATIVADA,PLEIN ÉCRAN SUR
KEY_FULLSCREEN_OFF,FULL SCREEN OFF,PANTALLA COMPLETA DESACTIVADA,PISTA COMPLETA DESLIGADA,PLEIN ÉCRAN
KEY_ENGLISH,ENGLISH,INGLÉS,INGLÊS,ANGLAIS
KEY_ESPANOL,SPANISH,ESPAÑOL,ESPANHOL,ESPANOL
KEY_PORTUGUESE,PORTUGUESE,PORTUGUÉS,PORTUGUÊS,PORTUGAIS
KEY_FRENCH,FRENCH,FRANCÉS,FRANCÊS,FRANÇAIS
KEY_CONTROL_SIZE_SMALL,SMALL,PEQUEÑA ,PEQUENO ,PETIT 
KEY_CONTROL_SIZE_MEDIUM,MEDIUM,MEDIO ,MÉDIO ,MOYEN 
KEY_CONTROL_SIZE_LARGE,LARGE,GRANDE ,AMPLA ,GRAND 
KEY_DIRECTIONAL_SIDE_LEFT,LEFT,IZQUIERDA ,ESQUERDA ,LA GAUCHE 
KEY_DIRECTIONAL_SIDE_RIGHT,RIGHT,DERECHO ,CERTO ,DROITE 
KEY_SP,SKIP,SALTARSE,SALTAR,SAUTER
KEY_RESET,RESET GAME,RESTABLECER JUEGO,JOGO DE RESET,RÉINITIALISER LE JEU
KEY_BACK,BACK,ESPALDA ,COSTAS ,PRÉCÉDENT
KEY_HOW_TO_PLAY,HOW TO PLAY,CÓMO JUGAR,COMO JOGAR,COMMENT JOUER
KEY_REMOVE_ADS,REMOVE ADS,QUITAR ANUNCIOS ,REMOVER PROPAGANDAS ,SUPPRIMEZ LA PUB 
KEY_FEEDBACK,FEEDBACK,REALIMENTACIÓN ,COMENTÁRIOS ,RETOUR D'INFORMATION 
KEY_EMAIL_SUPPORT,EMAIL SUPPORT,SOPORTE DE CONTACTO,SUPORTE E-MAIL,SUPPORT PAR EMAIL
KEY_RATE,RATE,TARIFA,TAXA,TAUX
KEY_CREDITS,CREDITS,CRÉDITOS,CRÉDITOS,CRÉDITS
KEY_HTP,HOW TO PLAY,CÓMO JUGAR,COMO JOGAR,COMMENT JOUER
KEY_CE,CLOSE,CERCA,FECHAR,FERMER
KEY_PR,PREVIOUS,ANTERIOR ,ANTERIOR ,PRÉCÉDENT 
KEY_NT,NEXT,SIGUIENTE,PRÓXIMO,PROCHAIN
KEY_PTBTJ,PRESS THE BUTTON TO JUMP.,PRESIONE EL BOTÓN PARA SALTAR. ,PRESSIONE O BOTÃO PARA SALTAR. ,APPUYEZ SUR LE BOUTON POUR SAUTER. 
KEY_HDTKJ,HOLD DOWN TO KEEP JUMPING.,SOSTENGA ABAJO PARA MANTENER SALTANDO. ,ABRA PARA MANTENER SALTO. ,TENIR BAS POUR GARDER LE JUMPING. 
KEY_USERNAME_INFO,PLEASE ENTER A USERNAME.,"POR FAVOR, INGRESE UN NOMBRE DE USUARIO.",POR FAVOR COLOQUE UM NOME DE USUÁRIO.,MERCI D'ENTRER UN NOM D'UTILISATEUR.
KEY_APPLY,APPLY,APLICAR,APLICAR,APPLIQUER
KEY_CONFIRM,CONFIRM,CONFIRMAR,CONFIRMAR ,CONFIRMER
KEY_SELECT_STAGE,SELECT STAGE,SELECCIONE EL ESCENARIO ,SELECIONE ESTÁGIO ,SÉLECTIONNEZ L'ÉTAPE 
KEY_ADVENTURE_BTN,ADVENTURE,AVENTURAS,AVENTURA,AVENTURE
KEY_MULTIPLAY_BTN,MULTIPLAYER,MULTIJUGADOR,MULTIPLAYER,MULTIJOUEUR
TDM,TEAM DEATHMATCH,DEATHMATCH POR EQUIPOS,TEAM DEATHMATCH ,MATCH À MORT EN ÉQUIPE
FFA,FREE FOR ALL,GRATUITA PARA TODOS,LIVRE PARA TODOS,GRATUIT POUR TOUS
DOM,DOMINATION,DOMINACIÓN,DOMINAÇÃO,DOMINATION
KC,KILL CONFIRMED,MUERTE CONFIRMADA,MORTE CONFIRMADA,KILL CONFIRMÉ
CTF,CAPTURE THE FLAG,CAPTURA LA BANDERA,CAPTURAR A BANDEIRA,CAPTURER LE DRAPEAU
RANKED,RANKED,CLASIFICAR ,CLASSIFICAR ,CLASSER 
STRING_PLAY,PLAY,JUGAR,TOQUE,JOUER
KEY_ADVENTURE,ADVENTURE,AVENTURAS,AVENTURA,AVENTURE
STRING_MULTIPLAY,MULTIPLAYER,MULTIJUGADOR,MULTIPLAYER,MULTIJOUEUR
STRING_STAGE_SEL,STAGE SELECTION,SELECCIÓN DE ETAPA,SELEÇÃO DE ESTÁGIO,STAGE DE SÉLECTION
STRING_EXTRA,BONUS,EXTRA,BÔNUS,PRIME
